"...1","Player ID","Player Name","Total (Last 365 Days)","Highest Paying Game","Total (Game)","% of Total","Country"
190,"Chap","Nicolas -","$184,575.00","Fortnite","$184,575.00","100.00%","Switzerland"
191,"Yatoro","Ilya Mulyarchuk","$183,182.50","Dota 2","$183,182.50","100.00%","Ukraine"
192,"LiShao","Li, Chengyu","$182,561.80","Teamfight Tactics","$182,561.80","100.00%","China"
193,"Mira","Miroslaw Kolpakov","$182,319.40","Dota 2","$182,319.40","100.00%","Ukraine"
194,"LikEfac","Théo Mariano","$179,512.53","Rainbow Six Siege","$179,512.53","100.00%","France"
194,"Shaiiko","Stephane Lebleu","$179,512.53","Rainbow Six Siege","$179,512.53","100.00%","France"
196,"Bound","Adam Gray","$179,375.00","Halo Infinite","$179,375.00","100.00%","United States"
196,"Eco","Kevin Smith","$179,375.00","Halo Infinite","$179,375.00","100.00%","United States"
196,"Lqgend","Kaci Sabri","$179,375.00","Halo Infinite","$179,375.00","100.00%","France"
196,"StelluR","Braedon Boettcher","$179,375.00","Halo Infinite","$179,375.00","100.00%","United States"
200,"BriD","Loïc Chongthep","$179,325.52","Rainbow Six Siege","$179,325.52","100.00%","France"
201,"9Class","Naltakyan Edgar Armenovich","$179,294.17","Dota 2","$179,294.17","100.00%","Russian Federation"
202,"Solotov","Fatih Türker","$176,925.52","Rainbow Six Siege","$176,925.52","100.00%","Turkey"
202,"Yuzus","Josh Pritchard","$176,925.52","Rainbow Six Siege","$176,925.52","100.00%","United Kingdom"
204,"Hisoka","Kasimili Tongamoa","$176,666.67","Call of Duty: Warzone","$176,666.67","100.00%","Tonga"
205,"Topson","Topias Taavitsainen","$176,136.07","Dota 2","$176,136.07","100.00%","Finland"
206,"CleanX","Tobias Jønsson","$175,000.00","Call of Duty: Modern Warfare III","$175,000.00","100.00%","Denmark"
206,"Envoy","Dylan Hannon","$175,000.00","Call of Duty: Modern Warfare III","$175,000.00","100.00%","United States"
206,"Insight","Jamie Craven","$175,000.00","Call of Duty: Modern Warfare III","$175,000.00","100.00%","United Kingdom"
206,"Scrappy","Thomas Ernst","$175,000.00","Call of Duty: Modern Warfare III","$175,000.00","100.00%","United States"
210,"DrNykterstein","Magnus Carlsen","$173,119.11","Chess.com","$173,119.11","100.00%","Norway"
211,"Dishsoap","Joseph Goldsmith","$171,632.40","Teamfight Tactics","$171,632.40","100.00%","United States"
212,"EmreYilmaz","Emre Yilmaz","$170,899.98","EA Sports FC 24","$170,899.98","100.00%","Netherlands"
213,"Stormie","Hazziq Danish Bin Mohamad Rizwan","$170,666.67","Mobile Legends: Bang Bang","$170,666.67","100.00%","Malaysia"
214,"AboMakkah","Ahmad Mujahid","$170,000.00","EA Sports FC 24","$170,000.00","100.00%","Saudi Arabia"
215,"天宇","Zhang, Tianyu","$167,613.47","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$167,613.47","100.00%","China"
216,"Biffle","Andrew Diaz","$166,666.67","Call of Duty: Warzone","$166,666.67","100.00%","United States"
216,"Gojes","Ilman Zareef Bin Zulkifli","$166,666.67","Mobile Legends: Bang Bang","$166,666.67","100.00%","Malaysia"
216,"Innocent","John Banal","$166,666.67","Mobile Legends: Bang Bang","$166,666.67","100.00%","Philippines"
216,"Kramm","Mark Genzon Rustana","$166,666.67","Mobile Legends: Bang Bang","$166,666.67","100.00%","Philippines"
216,"YumSkie","Muhammad Qayyum Ariffin Bin Mohd Suhairi","$166,666.67","Mobile Legends: Bang Bang","$166,666.67","100.00%","Malaysia"
221,"Daniel","Daniel Piecenski","$165,083.33","Rocket League","$165,083.33","100.00%","United States"
222,"Chico","- -","$165,075.00","Fortnite","$165,075.00","100.00%","Bosnia and Herzegovina"
223,"Vanyak3kktis","Vanya Sakach","$164,437.50","Fortnite","$164,437.50","100.00%","Ukraine"
224,"Dark","Park, Ryung Woo","$161,345.85","StarCraft II","$157,721.90","97.75%","Korea, Republic of"
225,"XiaoGe","Xiao, Jie","$161,026.95","Teamfight Tactics","$161,026.95","100.00%","China"
226,"Saksa","Martin Sazdov","$160,969.40","Dota 2","$160,969.40","100.00%","North Macedonia"
227,"BuRan","Ye, Kang","$160,662.29","Arena of Valor","$160,662.29","100.00%","China"
228,"YuvalBeli","Yuval Blizovsky","$160,590.38","EA Sports FC 24","$160,590.38","100.00%","Israel"
229,"carrilho","Lucas Miguel","$159,878.13","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$159,878.13","100.00%","Brazil"
229,"Mafioso","Daniel Henrique vaz","$159,878.13","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$159,878.13","100.00%","Brazil"
229,"Revo","Roan Aléssio","$159,878.13","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$159,878.13","100.00%","Brazil"
232,"Title","- -","$158,662.00","Teamfight Tactics","$158,662.00","100.00%","Japan"
233,"Nicolas99FC","Nicolas Villalba","$157,835.10","EA Sports FC 24","$157,835.10","100.00%","Argentina"
234,"Fanfan","Fan, Yang","$157,485.67","Arena of Valor","$157,485.67","100.00%","China"
234,"Fx","Yu, Xiangren","$157,485.67","Arena of Valor","$157,485.67","100.00%","China"
234,"QingQing","Wu, Jinxiang","$157,485.67","Arena of Valor","$157,485.67","100.00%","China"
234,"ZiHuan","Huang, Guangshun","$157,485.67","Arena of Valor","$157,485.67","100.00%","China"
238,"577","Chen, Jinwei","$157,193.94","CrossFire","$157,193.94","100.00%","China"
