"Rank","Country","Total_Earnings","Number_of_Players","Top_Game","Earnings_From_Top_Game","Percent_From_Top_Game"
66,"Nepal","$1,685,473.25","171 Players","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$1,626,521.14","96.50%"
67,"Morocco","$1,675,651.21","206 Players","Rocket League","$634,104.55","37.84%"
68,"Iraq","$1,508,485.28","153 Players","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$1,200,851.54","79.61%"
69,"Kyrgyzstan","$1,481,017.40","102 Players","Dota 2","$1,232,377.61","83.21%"
70,"Moldova","$1,415,506.40","62 Players","Dota 2","$1,021,106.81","72.14%"
71,"Ireland","$1,411,515.67","345 Players","Fortnite","$258,910.98","18.34%"
72,"Colombia","$1,385,389.56","403 Players","Free Fire","$204,874.07","14.79%"
73,"Myanmar","$1,359,988.38","267 Players","Mobile Legends: Bang Bang","$565,090.60","41.55%"
74,"Dominican Republic","$1,219,428.01","131 Players","Street Fighter V","$268,835.20","22.05%"
75,"Uzbekistan","$1,210,292.47","144 Players","Dota 2","$487,051.16","40.24%"
76,"Puerto Rico","$1,096,244.74","148 Players","NBA 2K20","$250,000.00","22.81%"
77,"Bolivia","$1,004,492.46","71 Players","Dota 2","$913,055.28","90.90%"
78,"Uruguay","$995,615.01","157 Players","Counter-Strike: Global Offensive","$147,375.85","14.80%"
79,"United Arab Emirates","$984,673.80","249 Players","Street Fighter 6","$278,488.00","28.28%"
80,"Iran, Islamic Republic of","$860,120.96","163 Players","Chess.com","$362,026.81","42.09%"
81,"Cambodia","$784,460.46","240 Players","Mobile Legends: Bang Bang","$422,772.65","53.89%"
82,"Algeria","$783,165.73","119 Players","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$234,443.68","29.94%"
83,"Kuwait","$739,041.74","189 Players","Rainbow Six Siege","$186,065.93","25.18%"
84,"Azerbaijan","$673,758.17","112 Players","chess24","$295,261.50","43.82%"
85,"Georgia","$661,122.54","119 Players","PLAYERUNKNOWN’S BATTLEGROUNDS","$344,693.10","52.14%"
86,"Cuba","$632,114.52","50 Players","Fortnite","$240,916.67","38.11%"
87,"Syrian Arab Republic","$568,862.51","62 Players","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$300,824.11","52.88%"
88,"Bahrain","$508,424.68","48 Players","Fortnite","$329,040.00","64.72%"
89,"Kosovo","$489,069.96","66 Players","Counter-Strike: Global Offensive","$377,651.80","77.22%"
90,"Montenegro","$479,746.46","20 Players","Counter-Strike: Global Offensive","$386,656.12","80.60%"
91,"Guatemala","$471,517.77","56 Players","Counter-Strike 2","$216,966.67","46.01%"
92,"Venezuela","$460,832.05","188 Players","League of Legends","$60,648.11","13.16%"
93,"Tunisia","$409,556.06","112 Players","League of Legends","$165,174.37","40.33%"
94,"Laos","$327,375.72","109 Players","Dota 2","$264,299.31","80.73%"
95,"Ecuador","$313,573.13","79 Players","Free Fire","$153,083.34","48.82%"
96,"Tonga","$293,090.17","1 Player","Call of Duty: Warzone","$293,090.17","100.00%"
97,"Iceland","$275,549.79","176 Players","Overwatch","$102,284.60","37.12%"
98,"Bangladesh","$253,723.37","117 Players","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$127,158.36","50.12%"
99,"Nicaragua","$187,207.58","12 Players","Dota 2","$104,516.18","55.83%"
100,"Palestine, State of","$186,443.27","30 Players","League of Legends","$93,631.92","50.22%"
101,"Malta","$184,551.47","299 Players","FIFA 18","$38,778.70","21.01%"
102,"Costa Rica","$182,731.15","87 Players","League of Legends","$53,540.21","29.30%"
103,"Senegal","$177,159.17","12 Players","FIFA 21","$63,958.34","36.10%"
104,"Albania","$134,386.79","62 Players","PLAYERUNKNOWN’S BATTLEGROUNDS","$44,105.94","32.82%"
105,"Luxembourg","$130,595.63","56 Players","Fortnite","$40,933.20","31.34%"
106,"Panama","$130,037.61","62 Players","Fortnite","$68,390.00","52.59%"
107,"Gibraltar","$127,449.51","1 Player","PLAYERUNKNOWN’S BATTLEGROUNDS","$126,324.51","99.12%"
108,"Qatar","$113,361.18","54 Players","Fortnite","$21,375.00","18.86%"
109,"Brunei Darussalam","$109,475.63","215 Players","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$59,118.95","54.00%"
110,"Honduras","$101,945.62","28 Players","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$66,731.21","65.46%"
