"...1","Player ID","Player Name","Total (Last 365 Days)","Highest Paying Game","Total (Game)","% of Total","Country"
335,"SuJiu","Yu, Lin","$116,425.71","PLAYERUNKNOWN’S BATTLEGROUNDS","$116,425.71","100.00%","China"
335,"xwudd","Wu, Bo","$116,425.71","PLAYERUNKNOWN’S BATTLEGROUNDS","$116,425.71","100.00%","China"
338,"woxic","Özgür Eker","$116,400.00","Counter-Strike 2","$116,400.00","100.00%","Turkey"
339,"XiaoZe","Shen, Yuze","$116,276.59","Arena of Valor","$116,276.59","100.00%","China"
340,"Xbei","Tu, ZhanYa","$116,175.71","PLAYERUNKNOWN’S BATTLEGROUNDS","$116,175.71","100.00%","China"
341,"Chuchen","Tao, Chuankai","$116,078.83","Arena of Valor","$116,078.83","100.00%","China"
342,"Calyx","Buğra Arkın","$115,700.00","Counter-Strike 2","$115,700.00","100.00%","Turkey"
342,"MAJ3R","Engin Küpeli","$115,700.00","Counter-Strike 2","$115,700.00","100.00%","Turkey"
342,"XANTARES","İsmailсan Dörtkardeş","$115,700.00","Counter-Strike 2","$115,700.00","100.00%","Turkey"
345,"Deadzone","Zane Hearon","$115,000.00","Halo Infinite","$115,000.00","100.00%","United States"
345,"FormaL","Matthew Piper","$115,000.00","Halo Infinite","$115,000.00","100.00%","United States"
345,"Lucid","Tommy Wilson","$115,000.00","Halo Infinite","$115,000.00","100.00%","United States"
345,"Trippy","Joe Taylor","$115,000.00","Halo Infinite","$115,000.00","100.00%","United States"
349,"DM","Dmitrii Dorokhin","$114,075.00","Dota 2","$114,075.00","100.00%","Russian Federation"
350,"Phony","Josue Ruiz","$113,833.34","Apex Legends","$113,833.34","100.00%","United States"
350,"Xynew","Brody Geissler","$113,833.34","Apex Legends","$113,833.34","100.00%","United States"
352,"CChen","Bo, Chenhe","$112,546.96","Arena of Valor","$112,546.96","100.00%","China"
352,"Luo","Wang, Ke","$112,546.96","Arena of Valor","$112,546.96","100.00%","China"
352,"XiaoJiu","Yang, Wenming","$112,546.96","Arena of Valor","$112,546.96","100.00%","China"
352,"xZai","Xia, Zhaoxun","$112,546.96","Arena of Valor","$112,546.96","100.00%","China"
356,"0Ne","Kleiton Weberton Vieira Almeida","$112,524.16","Arena of Valor","$112,524.16","100.00%","Brazil"
356,"Dani","Daniel Fernandes Gonçalves","$112,524.16","Arena of Valor","$112,524.16","100.00%","Brazil"
356,"Niap","Felipe Vinicius de Sousa Fantinati","$112,524.16","Arena of Valor","$112,524.16","100.00%","Brazil"
359,"Reet","Nathan Amundson","$112,062.50","Fortnite","$112,062.50","100.00%","United States"
360,"Mike","Liu, Zheyu","$111,500.00","Naraka: Bladepoint","$111,500.00","100.00%","China"
361,"Chovy","Jeong, Ji Hoon","$110,531.71","League of Legends","$110,531.71","100.00%","Korea, Republic of"
362,"Blasts","Jamie Levine","$110,333.33","Apex Legends","$110,333.33","100.00%","United Kingdom"
362,"lighT","Paweł Haratyk","$110,333.33","Apex Legends","$110,333.33","100.00%","Poland"
362,"Lufka","Jan Urban","$110,333.33","Apex Legends","$110,333.33","100.00%","Poland"
365,"Ryley","- -","$109,625.00","Clash Royale","$109,625.00","100.00%","Canada"
366,"NL","Sim, Geon","$109,136.92","Street Fighter 6","$109,136.92","100.00%","Korea, Republic of"
367,"Doo","Meng, Kun","$108,081.83","CrossFire","$108,081.83","100.00%","China"
367,"Jwei","Yang, Jiawei","$108,081.83","CrossFire","$108,081.83","100.00%","China"
367,"Zy","Zhang, Ye","$108,081.83","CrossFire","$108,081.83","100.00%","China"
370,"Rw9","Saleh Bakhashwin","$107,705.56","Rocket League","$107,705.56","100.00%","Saudi Arabia"
371,"Fancy","Jacob Worthington","$107,375.00","Madden NFL 24","$107,375.00","100.00%","United States"
372,"Noone","Vladimir Minenko","$107,075.00","Dota 2","$107,075.00","100.00%","Ukraine"
373,"Trk511","Mohammed Alotaibi","$106,855.56","Rocket League","$106,855.56","100.00%","Saudi Arabia"
374,"Sebastian Job","Sebastian Job","$106,600.00","iRacing.com","$53,600.00","50.28%","United Kingdom"
375,"ManuBachoore","Manuel Bachoore","$105,899.98","EA Sports FC 24","$105,899.98","100.00%","Netherlands"
376,"Cure","Kim, Doh Wook","$105,570.68","StarCraft II","$105,202.68","99.65%","Korea, Republic of"
377,"Kiin","Kim, Gi In","$105,483.07","League of Legends","$105,483.07","100.00%","Korea, Republic of"
378,"369","Bai, Jiahao","$105,417.00","League of Legends","$105,417.00","100.00%","China"
378,"Creme","Lin, Jian","$105,417.00","League of Legends","$105,417.00","100.00%","China"
378,"JackeyLove","Yu, Wenbo","$105,417.00","League of Legends","$105,417.00","100.00%","China"
378,"Meiko","Tian, Ye","$105,417.00","League of Legends","$105,417.00","100.00%","China"
378,"Tian","Gao, Tianliang","$105,417.00","League of Legends","$105,417.00","100.00%","China"
383,"wei","Yan, Yangwei","$105,186.66","League of Legends","$105,186.66","100.00%","China"
384,"Kiileerrz","Yazid Bakhashwin","$105,055.56","Rocket League","$105,055.56","100.00%","Saudi Arabia"
385,"Purpled","Grayson Wood","$105,000.00","Minecraft","$105,000.00","100.00%","United States"
386,"Lucky","Han, Kai","$104,737.79","Arena of Valor","$104,737.79","100.00%","China"
387,"Vadeal","Alexander Schlik","$104,250.00","Fortnite","$104,250.00","100.00%","Germany"
388,"Double61","Emre Demitras","$104,215.07","Teamfight Tactics","$104,215.07","100.00%","France"
389,"rezon ay","Lennard Sill","$103,825.00","Fortnite","$103,825.00","100.00%","Germany"
390,"Edgey","Ben Peterson","$103,562.50","Fortnite","$103,562.50","100.00%","United States"
391,"Suk","Feng, Shujie","$103,476.00","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$103,476.00","100.00%","China"
392,"Peyz","Kim, Su Hwan","$103,301.47","League of Legends","$103,301.47","100.00%","Korea, Republic of"
393,"sparkingg","Pedro Ribeiro","$102,975.00","PLAYERUNKNOWN’S BATTLEGROUNDS","$102,975.00","100.00%","Brazil"
394,"Dasnerth","Logan -","$102,797.00","Minecraft","$102,797.00","100.00%","United States"
395,"GK1st","Wei, Jiawang","$102,124.15","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$102,124.15","100.00%","China"
396,"Rush","Yoo, Young Jin","$101,862.17","StarCraft: Remastered","$101,862.17","100.00%","Korea, Republic of"
397,"Canyon","Kim, Geon Bu","$101,861.47","League of Legends","$101,861.47","100.00%","Korea, Republic of"
398,"Obly","Lim, Jung-hyun","$101,718.33","Apex Legends","$101,718.33","100.00%","Korea, Republic of"
398,"SangJoon","Han, Sang-jun","$101,718.33","Apex Legends","$101,718.33","100.00%","Korea, Republic of"
400,"KaronPe","Lee, Min-hyuk","$100,666.67","Apex Legends","$100,666.67","100.00%","Korea, Republic of"
401,"levyfinn02","Levy Finn Rieck","$100,603.33","EA Sports FC 24","$100,603.33","100.00%","Germany"
402,"lehends","Son, Si Woo","$100,412.83","League of Legends","$100,412.83","100.00%","Korea, Republic of"
403,"PocketTrain","Tom Swinton","$100,321.08","Hearthstone","$100,321.08","100.00%","United Kingdom"
404,"BoBoKa","Ye, Zhibiao","$100,005.40","Dota 2","$100,005.40","100.00%","China"
405,"Wox","- -","$99,650.00","Fortnite","$99,650.00","100.00%","Sweden"
406,"xNova","Yap, Jian Wei","$99,005.40","Dota 2","$99,005.40","100.00%","Malaysia"
407,"P1ng","- -","$98,950.00","Fortnite","$98,950.00","100.00%","Ukraine"
408,"OnlyS","Liu, Yang","$98,688.15","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$98,688.15","100.00%","China"
409,"TA2000","Aibek Tokaev","$98,000.00","Dota 2","$98,000.00","100.00%","Kazakhstan"
410,"60second","Zhen, Jiankuo","$97,767.55","Teamfight Tactics","$97,767.55","100.00%","China"
411,"LucasXGamer","Lucas Vinicius Batista Rocha","$97,277.35","Clash Royale","$97,277.35","100.00%","Brazil"
412,"Lon9z","Xiao, Haitao","$96,624.15","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$96,624.15","100.00%","China"
412,"花花","Chen, Yumeng","$96,624.15","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$96,624.15","100.00%","China"
414,"pyw","Xiong, Jiahan","$96,442.50","Dota 2","$96,442.50","100.00%","China"
415,"No!ob","Tony Assaf","$96,000.00","Dota 2","$96,000.00","100.00%","Lebanon"
415,"OmaR","Omar Moughrabi","$96,000.00","Dota 2","$96,000.00","100.00%","Lebanon"
417,"niu","Li, Kongbo","$95,250.00","Dota 2","$95,250.00","100.00%","China"
418,"Levi de Weerd","Levi de Weerd","$95,000.00","EA Sports FC 24","$95,000.00","100.00%","Netherlands"
419,"Sharp","Jo, Ki Seok","$94,944.92","StarCraft: Remastered","$94,944.92","100.00%","Korea, Republic of"
420,"Avivv","- -","$94,695.83","Fortnite","$94,695.83","100.00%","Canada"
421,"watson","Alimzhan Islambekov","$94,075.00","Dota 2","$94,075.00","100.00%","Kazakhstan"
422,"Clix","Cody Conrod","$92,543.75","Fortnite","$92,543.75","100.00%","United States"
423,"kyxsan","Damjan Stoilkovski","$92,350.00","Counter-Strike 2","$92,350.00","100.00%","North Macedonia"
424,"Wisper","Adrián Dobles","$91,900.00","Dota 2","$91,900.00","100.00%","Bolivia"
425,"SonicFox","Dominique Mclean","$91,517.60","Mortal Kombat 1","$85,507.60","93.43%","United States"
426,"Hikaru","Hikaru Nakamura","$91,504.00","Chess.com","$91,504.00","100.00%","United States"
427,"XiaoXuan","Shang, Enxuan","$91,495.38","Arena of Valor","$91,495.38","100.00%","China"
428,"bzm","Bozhidar Bozhilov","$91,150.00","Dota 2","$91,150.00","100.00%","Bulgaria"
429,"Light","Lee, Jae Ho","$90,341.28","StarCraft: Remastered","$90,341.28","100.00%","Korea, Republic of"
430,"MiniBoo","Dominykas Lukasevicius","$90,000.00","VALORANT","$90,000.00","100.00%","Lithuania"
430,"xmpL","Artem Adarkin","$90,000.00","PLAYERUNKNOWN’S BATTLEGROUNDS","$90,000.00","100.00%","Russian Federation"
432,"SabeRLight-","Jonáš Volek","$89,400.00","Dota 2","$89,400.00","100.00%","Czech Republic"
433,"Adou","Jiang, Tao","$89,312.40","Arena of Valor","$89,312.40","100.00%","China"
433,"Mlan","Peng, Junlan","$89,312.40","Arena of Valor","$89,312.40","100.00%","China"
433,"WanWan","Du, Yuanhang","$89,312.40","Arena of Valor","$89,312.40","100.00%","China"
433,"xDo","Gu, Weixiong","$89,312.40","Arena of Valor","$89,312.40","100.00%","China"
437,"Hera","Hamzah El-Baher","$89,136.94","Age of Empires II","$89,136.94","100.00%","Canada"
438,"LiMing","Li, Ming","$88,931.26","Arena of Valor","$88,931.26","100.00%","China"
439,"volpz","Gabriel Fernandes","$88,907.32","Rainbow Six Siege","$88,907.32","100.00%","Brazil"
440,"RoyaL","Kim, Ji Sung","$88,788.49","StarCraft: Remastered","$88,788.49","100.00%","Korea, Republic of"
441,"YuYang","Zhang, Yang","$88,530.65","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$68,530.65","77.41%","China"
442,"Snow","Jang, Yoon Chul","$88,416.77","StarCraft: Remastered","$86,423.67","97.75%","Korea, Republic of"
443,"JT-","Thiay, Jun Wen","$88,005.40","Dota 2","$88,005.40","100.00%","Malaysia"
443,"Monet","Du, Peng","$88,005.40","Dota 2","$88,005.40","100.00%","China"
443,"NothingToSay","Cheng, Jin Xiang","$88,005.40","Dota 2","$88,005.40","100.00%","Malaysia"
446,"Mr Football 88","John Britt IV","$87,375.00","Madden NFL 24","$87,375.00","100.00%","United States"
447,"QianShi","Zhou, Kuan","$86,612.15","Arena of Valor","$86,612.15","100.00%","China"
448,"Umut","Umut Gültekin","$86,270.08","EA Sports FC 24","$86,270.08","100.00%","Germany"
449,"Kiro","Troy Alexis","$86,170.83","Fortnite","$86,170.83","100.00%","Netherlands"
450,"Shinoa","Sheen Perez","$86,000.00","Mobile Legends: Bang Bang","$86,000.00","100.00%","Philippines"
451,"HeeSang","Chae, Hee sang","$85,916.67","Overwatch 2","$85,916.67","100.00%","Korea, Republic of"
451,"Junbin","Park, Jun Bin","$85,916.67","Overwatch 2","$85,916.67","100.00%","Korea, Republic of"
451,"MAX","Choi, Su Min","$85,916.67","Overwatch 2","$85,916.67","100.00%","Korea, Republic of"
454,"CH0R0NG","Sung, Yu Min","$85,095.24","Overwatch 2","$85,095.24","100.00%","Korea, Republic of"
455,"d4sh","Leonardo Lopes","$84,907.32","Rainbow Six Siege","$84,907.32","100.00%","Brazil"
455,"Dotz","João Miranda","$84,907.32","Rainbow Six Siege","$84,907.32","100.00%","Brazil"
455,"L0BIN","Júlio Gabriel","$84,907.32","Rainbow Six Siege","$84,907.32","100.00%","Brazil"
458,"AOLIN","Lei, Kuan Tat","$84,762.48","Arena of Valor","$84,762.48","100.00%","Macao"
458,"Jiezai","Duan, Yongsong","$84,762.48","Arena of Valor","$84,762.48","100.00%","China"
458,"psyche","Zhong, Yaoyang","$84,762.48","Arena of Valor","$84,762.48","100.00%","China"
461,"LIP","Lee, Jae Won","$84,666.67","Overwatch 2","$84,666.67","100.00%","Korea, Republic of"
462,"Nertz","Guy Iluz","$84,650.00","Counter-Strike 2","$84,650.00","100.00%","Israel"
463,"ZerO","Kim, Myung Woon","$84,301.64","StarCraft: Remastered","$84,301.64","100.00%","Korea, Republic of"
464,"Jimmy","Jimmy Tan Tien Meng","$83,333.33","Arena of Valor","$83,333.33","100.00%","Malaysia"
465,"johnqt","Mouhamed Amine Ouarid","$83,000.00","VALORANT","$83,000.00","100.00%","Morocco"
465,"Sacy","Gustavo Rossi","$83,000.00","VALORANT","$83,000.00","100.00%","Brazil"
465,"TenZ","Tyson Ngo","$83,000.00","VALORANT","$83,000.00","100.00%","Canada"
465,"zekken","Zachary Patrone","$83,000.00","VALORANT","$83,000.00","100.00%","United States"
465,"Zellsis","Jordan Montemurro","$83,000.00","VALORANT","$83,000.00","100.00%","United States"
470,"Ming","Chen, Haoming","$81,697.68","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$75,697.68","92.66%","China"
471,"sjuush","Rasmus Beck","$81,650.00","Counter-Strike 2","$81,650.00","100.00%","Denmark"
471,"TeSeS","René Madsen","$81,650.00","Counter-Strike 2","$81,650.00","100.00%","Denmark"
473,"Difoxn","Parit Pornrattanapitak","$81,638.23","Arena of Valor","$81,638.23","100.00%","Thailand"
474,"Batman Bugha","- -","$81,250.00","Fortnite","$81,250.00","100.00%","United States"
475,"Nathansr22","Nathan Ribeiro","$81,123.35","EA Sports FC 24","$81,123.35","100.00%","Brazil"
476,"Jonbeast","Jonathan Marquez","$81,000.00","Madden NFL 24","$56,000.00","69.14%","United States"
477,"alexis","Alexis Guarrasi","$80,989.52","VALORANT","$80,989.52","100.00%","United States"
477,"florescent","Ava Eugene","$80,989.52","VALORANT","$80,989.52","100.00%","Canada"
477,"meL","Melanie Capone","$80,989.52","VALORANT","$80,989.52","100.00%","United States"
477,"Noia","Nicole Tierce","$80,989.52","VALORANT","$80,989.52","100.00%","Denmark"
477,"Sarah","Sarah Simpson","$80,989.52","VALORANT","$80,989.52","100.00%","Canada"
482,"BeSt","Doh, Jae Wook","$80,944.99","StarCraft: Remastered","$80,944.99","100.00%","Korea, Republic of"
483,"COZQ","Panuwat Chinwongkate","$80,716.67","Free Fire","$80,716.67","100.00%","Thailand"
483,"ONEMORE","Ratta Poom","$80,716.67","Free Fire","$80,716.67","100.00%","Thailand"
483,"ONFIRE","Phulipat Yosit","$80,716.67","Free Fire","$80,716.67","100.00%","Thailand"
483,"PETER","Thanakorn Choompurad","$80,716.67","Free Fire","$80,716.67","100.00%","Thailand"
487,"COUGAR","- -","$80,656.67","Free Fire","$80,656.67","100.00%","Thailand"
488,"Rapid","- -","$80,500.00","Fortnite","$80,500.00","100.00%","Canada"
489,"BrokenBlade","Sergen Celik","$80,396.00","League of Legends","$80,396.00","100.00%","Germany"
489,"Caps","Rasmus Borregaard Winther","$80,396.00","League of Legends","$80,396.00","100.00%","Denmark"
489,"Hans sama","Steven Liv","$80,396.00","League of Legends","$80,396.00","100.00%","France"
489,"Mikyx","Mihael Mehle","$80,396.00","League of Legends","$80,396.00","100.00%","Slovenia"
489,"Yike","Martin Sundelin","$80,396.00","League of Legends","$80,396.00","100.00%","Sweden"
494,"PogPog","Suniti Singhatanatgige","$80,269.13","Arena of Valor","$80,269.13","100.00%","Thailand"
495,"Ari","Matthew Walker","$79,900.00","Dota 2","$79,900.00","100.00%","United Kingdom"
496,"IpodPro","Pakkapon Saethong","$79,858.40","Arena of Valor","$79,858.40","100.00%","Thailand"
496,"NTNz","Thana Somboonprom","$79,858.40","Arena of Valor","$79,858.40","100.00%","Thailand"
498,"WanMo","Luo, Xueyan","$79,609.48","Arena of Valor","$79,609.48","100.00%","China"
499,"MMing","Chen, Yinan","$79,574.60","PLAYERUNKNOWN’S BATTLEGROUNDS","$79,574.60","100.00%","China"
500,"Fuhhnq","Nicholas Wall","$79,333.33","Apex Legends","$79,333.33","100.00%","United States"
