"...1","Player ID","Player Name","Total (Last 365 Days)","Highest Paying Game","Total (Game)","% of Total","Country"
149,"Kickstart","Matt Smith","$202,668.75","PLAYERUNKNOWN’S BATTLEGROUNDS","$202,668.75","100.00%","United States"
149,"Shrimzy","Tristan Nowicky","$202,668.75","PLAYERUNKNOWN’S BATTLEGROUNDS","$202,668.75","100.00%","United States"
149,"TGLTN","James Giezen","$202,668.75","PLAYERUNKNOWN’S BATTLEGROUNDS","$202,668.75","100.00%","Australia"
152,"910","Usukhbayar Banzragch","$201,866.67","Counter-Strike 2","$201,866.67","100.00%","Mongolia"
152,"bLitz","Garidmagnai Byambasuren","$201,866.67","Counter-Strike 2","$201,866.67","100.00%","Mongolia"
152,"Techno4k","Sodbayar Munkhbold","$201,866.67","Counter-Strike 2","$201,866.67","100.00%","Mongolia"
155,"mzinho","Ayush Batbold","$201,828.00","Counter-Strike 2","$201,828.00","100.00%","Mongolia"
156,"S1Mon","Xie Mengxun","$200,600.00","VALORANT","$200,600.00","100.00%","Taiwan, Republic of China"
157,"merstachhh","Andrej Piratov","$200,150.00","Fortnite","$200,150.00","100.00%","Latvia"
158,"HyDra","Paco Rusiewiez","$200,000.00","Call of Duty: Modern Warfare III","$200,000.00","100.00%","France"
158,"Kismet","Matthew Tinsley","$200,000.00","Call of Duty: Modern Warfare III","$200,000.00","100.00%","United States"
158,"Malibuca","Danila Yakovenko","$200,000.00","Fortnite","$200,000.00","100.00%","Russian Federation"
158,"Sib","Daunte Gray","$200,000.00","Call of Duty: Modern Warfare III","$200,000.00","100.00%","United States"
158,"Skyz","Cesar Bueno","$200,000.00","Call of Duty: Modern Warfare III","$200,000.00","100.00%","United States"
163,"Flickzy","- -","$199,300.00","Fortnite","$199,300.00","100.00%","Germany"
164,"frozen","David Čerňanský","$198,300.00","Counter-Strike 2","$198,300.00","100.00%","Slovakia"
165,"ExoTiiK","Brice Bigeard","$198,121.36","Rocket League","$198,121.36","100.00%","France"
166,"M0nkey M00n","Evan Rogez","$197,666.67","Rocket League","$197,666.67","100.00%","France"
167,"senzu","Munkhbold Azbayar","$196,828.00","Counter-Strike 2","$196,828.00","100.00%","Mongolia"
168,"broky","Helvijs Saukants","$196,300.00","Counter-Strike 2","$196,300.00","100.00%","Latvia"
168,"karrigan","Finn Andersen","$196,300.00","Counter-Strike 2","$196,300.00","100.00%","Denmark"
168,"rain","Håvard Nygaard","$196,300.00","Counter-Strike 2","$196,300.00","100.00%","Norway"
168,"ropz","Robin Kool","$196,300.00","Counter-Strike 2","$196,300.00","100.00%","Estonia"
172,"Keria","Ryu, Min Seok","$195,720.65","League of Legends","$195,720.65","100.00%","Korea, Republic of"
173,"Genburten","Noyan Ozkose","$194,666.67","Apex Legends","$194,666.67","100.00%","Australia"
173,"Zer0","Rhye Perry","$194,666.67","Apex Legends","$194,666.67","100.00%","Australia"
175,"Collapse","Magomed Khalilov","$194,319.40","Dota 2","$194,319.40","100.00%","Russian Federation"
176,"Gumayusi","Lee, Min Hyeong","$194,272.01","League of Legends","$194,272.01","100.00%","Korea, Republic of"
176,"Oner","Moon, Hyeon Joon","$194,272.01","League of Legends","$194,272.01","100.00%","Korea, Republic of"
176,"Zeus","Choi, Woo Je","$194,272.01","League of Legends","$194,272.01","100.00%","Korea, Republic of"
179,"MSKing","Chen, Tat Yann","$194,190.82","Arena of Valor","$194,190.82","100.00%","Malaysia"
179,"Zhe","Low, Li Zhe","$194,190.82","Arena of Valor","$194,190.82","100.00%","Malaysia"
181,"PHzin","Paulo Henrique Chaves","$193,899.70","EA Sports FC 24","$193,899.70","100.00%","Brazil"
182,"bin","Chen, Zebin","$192,538.66","League of Legends","$192,538.66","100.00%","China"
182,"Elk","Zhao, Jiahao","$192,538.66","League of Legends","$192,538.66","100.00%","China"
182,"Knight","Zhuo, Ding","$192,538.66","League of Legends","$192,538.66","100.00%","China"
182,"ON","Luo, Wenjun","$192,538.66","League of Legends","$192,538.66","100.00%","China"
182,"XUN","Peng, Lixun","$192,538.66","League of Legends","$192,538.66","100.00%","China"
187,"Seoul","Cho, Gi Yeol","$192,197.56","PLAYERUNKNOWN’S BATTLEGROUNDS","$192,197.56","100.00%","Korea, Republic of"
188,"Inonix","Na, Hee Joo","$192,050.00","PLAYERUNKNOWN’S BATTLEGROUNDS","$192,050.00","100.00%","Korea, Republic of"
188,"Loki","Park, Jung Young","$192,050.00","PLAYERUNKNOWN’S BATTLEGROUNDS","$192,050.00","100.00%","Korea, Republic of"
190,"SwizzY","Egor Luciko","$188,237.50","Fortnite","$188,237.50","100.00%","Russian Federation"
191,"Young","Gabriel Freitas","$187,500.00","EA Sports FC 24","$187,500.00","100.00%","Brazil"
192,"Aohan","Chen, Junhui","$186,829.93","Arena of Valor","$186,829.93","100.00%","China"
192,"Bell","Wang, Wenqiang","$186,829.93","Arena of Valor","$186,829.93","100.00%","China"
194,"Chap","Nicolas -","$184,575.00","Fortnite","$184,575.00","100.00%","Switzerland"
195,"Yatoro","Ilya Mulyarchuk","$183,182.50","Dota 2","$183,182.50","100.00%","Ukraine"
196,"LiShao","Li, Chengyu","$182,561.80","Teamfight Tactics","$182,561.80","100.00%","China"
197,"Mira","Miroslaw Kolpakov","$182,319.40","Dota 2","$182,319.40","100.00%","Ukraine"
198,"LikEfac","Théo Mariano","$179,512.53","Rainbow Six Siege","$179,512.53","100.00%","France"
198,"Shaiiko","Stephane Lebleu","$179,512.53","Rainbow Six Siege","$179,512.53","100.00%","France"
200,"Lqgend","Kaci Sabri","$179,375.00","Halo Infinite","$179,375.00","100.00%","France"
201,"Bound","Adam Gray","$179,375.00","Halo Infinite","$179,375.00","100.00%","United States"
201,"Eco","Kevin Smith","$179,375.00","Halo Infinite","$179,375.00","100.00%","United States"
201,"StelluR","Braedon Boettcher","$179,375.00","Halo Infinite","$179,375.00","100.00%","United States"
204,"BriD","Loïc Chongthep","$179,325.52","Rainbow Six Siege","$179,325.52","100.00%","France"
205,"9Class","Naltakyan Edgar Armenovich","$179,294.17","Dota 2","$179,294.17","100.00%","Russian Federation"
206,"Solotov","Fatih Türker","$176,925.52","Rainbow Six Siege","$176,925.52","100.00%","Turkey"
206,"Yuzus","Josh Pritchard","$176,925.52","Rainbow Six Siege","$176,925.52","100.00%","United Kingdom"
208,"Hisoka","Kasimili Tongamoa","$176,666.67","Call of Duty: Warzone","$176,666.67","100.00%","Tonga"
209,"Topson","Topias Taavitsainen","$176,136.07","Dota 2","$176,136.07","100.00%","Finland"
210,"CleanX","Tobias Jønsson","$175,000.00","Call of Duty: Modern Warfare III","$175,000.00","100.00%","Denmark"
210,"Envoy","Dylan Hannon","$175,000.00","Call of Duty: Modern Warfare III","$175,000.00","100.00%","United States"
210,"Insight","Jamie Craven","$175,000.00","Call of Duty: Modern Warfare III","$175,000.00","100.00%","United Kingdom"
210,"Scrappy","Thomas Ernst","$175,000.00","Call of Duty: Modern Warfare III","$175,000.00","100.00%","United States"
214,"DrNykterstein","Magnus Carlsen","$173,119.11","Chess.com","$173,119.11","100.00%","Norway"
215,"Dishsoap","Joseph Goldsmith","$171,632.40","Teamfight Tactics","$171,632.40","100.00%","United States"
216,"EmreYilmaz","Emre Yilmaz","$170,899.98","EA Sports FC 24","$170,899.98","100.00%","Netherlands"
217,"Stormie","Hazziq Danish Bin Mohamad Rizwan","$170,666.67","Mobile Legends: Bang Bang","$170,666.67","100.00%","Malaysia"
218,"AboMakkah","Ahmad Mujahid","$170,000.00","EA Sports FC 24","$170,000.00","100.00%","Saudi Arabia"
219,"天宇","Zhang, Tianyu","$167,613.47","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$167,613.47","100.00%","China"
220,"Biffle","Andrew Diaz","$166,666.67","Call of Duty: Warzone","$166,666.67","100.00%","United States"
220,"Gojes","Ilman Zareef Bin Zulkifli","$166,666.67","Mobile Legends: Bang Bang","$166,666.67","100.00%","Malaysia"
220,"Innocent","John Banal","$166,666.67","Mobile Legends: Bang Bang","$166,666.67","100.00%","Philippines"
220,"Kramm","Mark Genzon Rustana","$166,666.67","Mobile Legends: Bang Bang","$166,666.67","100.00%","Philippines"
220,"YumSkie","Muhammad Qayyum Ariffin Bin Mohd Suhairi","$166,666.67","Mobile Legends: Bang Bang","$166,666.67","100.00%","Malaysia"
225,"Daniel","Daniel Piecenski","$165,083.33","Rocket League","$165,083.33","100.00%","United States"
226,"Chico","- -","$165,075.00","Fortnite","$165,075.00","100.00%","Bosnia and Herzegovina"
227,"Vanyak3kktis","Vanya Sakach","$164,437.50","Fortnite","$164,437.50","100.00%","Ukraine"
228,"Dark","Park, Ryung Woo","$161,345.85","StarCraft II","$157,721.90","97.75%","Korea, Republic of"
229,"XiaoGe","Xiao, Jie","$161,026.95","Teamfight Tactics","$161,026.95","100.00%","China"
230,"Saksa","Martin Sazdov","$160,969.40","Dota 2","$160,969.40","100.00%","North Macedonia"
231,"BuRan","Ye, Kang","$160,662.29","Arena of Valor","$160,662.29","100.00%","China"
232,"YuvalBeli","Yuval Blizovsky","$160,590.38","EA Sports FC 24","$160,590.38","100.00%","Israel"
233,"carrilho","Lucas Miguel","$159,878.13","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$159,878.13","100.00%","Brazil"
233,"Mafioso","Daniel Henrique vaz","$159,878.13","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$159,878.13","100.00%","Brazil"
233,"Revo","Roan Aléssio","$159,878.13","PLAYERUNKNOWN'S BATTLEGROUNDS Mobile","$159,878.13","100.00%","Brazil"
236,"Title","- -","$158,662.00","Teamfight Tactics","$158,662.00","100.00%","Japan"
237,"Nicolas99FC","Nicolas Villalba","$157,835.10","EA Sports FC 24","$157,835.10","100.00%","Argentina"
238,"Fanfan","Fan, Yang","$157,485.67","Arena of Valor","$157,485.67","100.00%","China"
238,"Fx","Yu, Xiangren","$157,485.67","Arena of Valor","$157,485.67","100.00%","China"
238,"QingQing","Wu, Jinxiang","$157,485.67","Arena of Valor","$157,485.67","100.00%","China"
238,"ZiHuan","Huang, Guangshun","$157,485.67","Arena of Valor","$157,485.67","100.00%","China"
242,"577","Chen, Jinwei","$157,193.94","CrossFire","$157,193.94","100.00%","China"
242,"CZY","Chen, Ziyang","$157,193.94","CrossFire","$157,193.94","100.00%","China"
242,"N9","Wang, Hao","$157,193.94","CrossFire","$157,193.94","100.00%","China"
242,"Xxiao","Zheng, Qi","$157,193.94","CrossFire","$157,193.94","100.00%","China"
246,"QianC","Zhou, Yitao","$156,195.63","Arena of Valor","$156,195.63","100.00%","China"
247,"Acorn","Abdullah Akhras","$156,125.00","Fortnite","$156,125.00","100.00%","Canada"
248,"Lorenof","Artem Melnik","$155,737.93","Dota 2","$155,737.93","100.00%","Ukraine"
249,"Kawano","Kawano, Masaki","$155,006.64","Street Fighter 6","$155,006.64","100.00%","Japan"
250,"Atif Butt","Atif Ijaz Butt","$154,195.00","Tekken 8","$152,195.00","98.70%","Pakistan"
251,"Atomic","Massimo Franceschi","$153,433.33","Rocket League","$153,433.33","100.00%","United States"
252,"Firouzja2003","Alireza Firouzja","$152,099.47","Chess.com","$152,099.47","100.00%","Iran, Islamic Republic of"
253,"Wesley","Wesley Gittens","$152,000.00","Madden NFL 24","$152,000.00","100.00%","United States"
254,"RAMZES666","Roman Kushnarev","$150,744.80","Dota 2","$150,744.80","100.00%","Russian Federation"
